Bahrain International Circuit,Bahrein,57,5412,308238,0
Jeddah Corniche Circuit,Arabie saoudite,50,6174,308450,0
Albert Park Circuit,Australie,58,5278,306124,0
Baku City Circuit,Azerbaidjan,51,6003,306049,1
Miami International Autodrome,Etats-Unis,57,5412,308326,0
Autodromo Enzo e Dino Ferrari,Italie,63,4909,309049,0
Circuit de Monaco,Monaco,78,3337,260286,0
Circuit de Barcelona-Catalunya,Espagne,66,4657,307236,0
Circuit Gilles-Villeneuve,Canada,70,4361,305270,0
Red Bull Ring,Autriche,71,4318,306452,1
Silverstone Circuit,Grande-Bretagne,52,5891,306198,0
Hungaroring,Hongrie,70,4381,306630,0
Circuit de Spa-Francorchamps,Belgique,44,7004,308052,1
Circuit Zandvoort,Pays-Bas,72,4259,306587,0
Autodromo Nazionale Monza,Italie,53,5793,306720,0
Marina Bay Street Circuit,Singapour,62,4940,306143,0
Suzuka International Racing Course,Japon,53,5807,307471,0
Lusail International Circuit,Qatar,57,5419,308611,1
Circuit of The Americas,Etats-Unis,56,5513,308405,1
Autodromo Hermanos Rodriguez,Mexique,71,4304,305354,0
Autodromo Jose Carlos Pace,Brasil,71,4309,305879,1
Las Vegas,Etats-Unis,50,6201,310050,0
Yas Marina Circuit,Emirats arabes unis,58,5281,306183,0
Circuit Paul Ricard,France,53,5842,309690,0
Autodromo Internacional do Algarve,Portugal,66,4653,306826,0
